resource_id,time,seed_id,filter_id,method_id,horizontal_slowness,backazimuth,onset,phase_hint,polarity,evaluation_mode,event_time,evaluation_status,creation_time,author,agency_id,event_id,network,station,location,channel,uncertainty,lower_uncertainty,upper_uncertainty,confidence_level
smi:local/648e74d0-7d03-48cc-a86f-138b953e1b6b,2023-06-10 04:43:57.152800,GCI.KKFLS..168,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,168,,,,
smi:local/c49dca38-124e-4eb7-ad21-857bb76be260,2023-06-10 04:43:56.492800,GCI.KKFLS..169,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,169,,,,
smi:local/3f1acb94-1322-4648-8b03-8db4c11efc6c,2023-06-10 04:43:57.472800,GCI.KKFLS..170,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,170,,,,
smi:local/d98018f7-504d-407d-9501-75ecc12c6bba,2023-06-10 04:43:57.152800,GCI.KKFLS..171,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,171,,,,
smi:local/ba15ed3a-3864-4e43-9b6a-84729f70ba42,2023-06-10 04:43:57.072800,GCI.KKFLS..172,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,172,,,,
smi:local/189e8ab2-a4ca-4183-9caf-ad7b5e446c8f,2023-06-10 04:43:55.892800,GCI.KKFLS..173,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,173,,,,
smi:local/16ab5aeb-fa8a-4611-ab76-aaf9e608268e,2023-06-10 04:43:57.252800,GCI.KKFLS..174,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,174,,,,
smi:local/4633beb5-71e4-4bef-a97f-3c3c62f49fa8,2023-06-10 04:43:56.552800,GCI.KKFLS..176,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,176,,,,
smi:local/3f581df6-1794-4d33-b881-7ca5ed937071,2023-06-10 04:43:57.352800,GCI.KKFLS..178,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,178,,,,
smi:local/e304556d-9a06-4345-834c-42ecc66f0ebd,2023-06-10 04:43:57.312800,GCI.KKFLS..180,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,180,,,,
smi:local/ad63c5a0-79f2-468c-8cdb-53cc78ec2e98,2023-06-10 04:43:56.632800,GCI.KKFLS..183,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,183,,,,
smi:local/7792b0ad-6dea-4ddb-b983-a1bbbe13ae10,2023-06-10 04:43:56.932800,GCI.KKFLS..184,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,184,,,,
smi:local/8d32f7f8-7cb5-4e10-8847-3466dcdc7fd4,2023-06-10 04:43:56.612800,GCI.KKFLS..185,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,185,,,,
smi:local/9606ed8d-1f4b-472f-8433-4bb39e2a8c90,2023-06-10 04:43:56.712800,GCI.KKFLS..186,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,186,,,,
smi:local/cc292594-83e3-498a-9754-237a98c3e822,2023-06-10 04:43:56.672800,GCI.KKFLS..187,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,187,,,,
smi:local/e827e6a7-bcd2-4c8a-8318-6be4c8bfd2d0,2023-06-10 04:43:56.892800,GCI.KKFLS..188,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,188,,,,
smi:local/d582b466-2583-4882-a8a6-ff8b51e1ef8b,2023-06-10 04:43:56.692800,GCI.KKFLS..189,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,189,,,,
smi:local/fc08f37f-6356-4249-81cb-c008351e1731,2023-06-10 04:43:56.652800,GCI.KKFLS..190,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,190,,,,
smi:local/7415b6ee-5ade-479e-acd8-90d64a0d2614,2023-06-10 04:43:56.192800,GCI.KKFLS..191,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,191,,,,
smi:local/af2405b3-7734-483b-af95-8db8fdc45817,2023-06-10 04:43:56.992800,GCI.KKFLS..192,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,192,,,,
smi:local/bc9668cd-6d64-4746-9b6e-9e7eb5868b26,2023-06-10 04:43:56.372800,GCI.KKFLS..193,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,193,,,,
smi:local/5deeeadf-c1fb-48b6-b8c2-83adf381bd3f,2023-06-10 04:43:56.352800,GCI.KKFLS..194,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,194,,,,
smi:local/9e83e574-c114-4cc6-aecb-b619164cf813,2023-06-10 04:43:56.032800,GCI.KKFLS..195,,,,,,s,,,2023-06-10 04:43:30.917,,,,,smi:service.iris.edu/fdsnws/event/1/query?eventid=11707158,GCI,KKFLS,,195,,,,
